time, Vcn, Von, VoVcn,
1.816595, 1.665308, 1.658862, -0.006445,
1.826788, 1.668530, 1.664502, -0.004028,
1.836901, 1.670142, 1.674170, 0.004028,
1.846802, 1.665308, 1.660474, -0.004834,
1.856891, 1.670142, 1.674170, 0.004028,
1.866836, 1.657251, 1.640332, -0.016919,
1.877008, 1.664502, 1.654834, -0.009668,
1.887130, 1.668530, 1.670947, 0.002417,
1.897017, 1.664502, 1.661279, -0.003223,
1.907139, 1.670142, 1.637109, -0.033032,
1.917258, 1.666919, 1.660474, -0.006445,
1.927464, 1.679004, 1.662085, -0.016919,
1.937581, 1.677393, 1.636304, -0.041089,
1.947697, 1.676587, 1.668530, -0.008057,
1.957900, 1.674976, 1.677393, 0.002417,
1.967895, 1.673364, 1.656445, -0.016919,
1.978123, 1.678198, 1.687866, 0.009668,
1.988009, 1.677393, 1.682227, 0.004834,
1.997797, 1.670142, 1.639526, -0.030615,
2.007918, 1.674170, 1.639526, -0.034644,
2.018014, 1.670142, 1.656445, -0.013696,
2.028215, 1.678198, 1.686255, 0.008057,
2.038126, 1.672559, 1.683838, 0.011279,
2.048012, 1.673364, 1.670142, -0.003223,
2.058125, 1.677393, 1.660474, -0.016919,
2.068346, 1.668530, 1.664502, -0.004028,
2.078570, 1.664502, 1.668530, 0.004028,
2.088464, 1.673364, 1.674976, 0.001611,
2.098349, 1.672559, 1.679004, 0.006445,
2.108245, 1.677393, 1.662085, -0.015308,
2.118348, 1.677393, 1.662891, -0.014502,
2.128575, 1.674976, 1.669336, -0.005640,
2.138802, 1.677393, 1.670142, -0.007251,
2.148893, 1.672559, 1.666113, -0.006445,
2.159015, 1.672559, 1.650806, -0.021753,
2.169242, 1.664502, 1.670947, 0.006445,
2.179236, 1.672559, 1.666919, -0.005640,
2.189346, 1.670142, 1.669336, -0.000806,
2.199437, 1.672559, 1.679004, 0.006445,
2.209244, 1.664502, 1.660474, -0.004028,
2.219362, 1.662085, 1.674976, 0.012891,
2.229349, 1.665308, 1.653223, -0.012085,
2.239463, 1.673364, 1.673364, 0.000000,
2.249335, 1.679004, 1.665308, -0.013696,
2.259341, 1.662085, 1.658862, -0.003223,
2.269574, 1.662085, 1.678198, 0.016113,
2.279569, 1.666113, 1.670142, 0.004028,
2.288578, 1.662085, 1.661279, -0.000806,
2.298614, 1.666919, 1.665308, -0.001611,
2.308684, 1.660474, 1.654834, -0.005640,
2.318790, 1.662891, 1.669336, 0.006445,
2.328691, 1.665308, 1.676587, 0.011279,
2.338659, 1.662891, 1.666919, 0.004028,
2.348585, 1.666919, 1.670142, 0.003223,
2.358456, 1.668530, 1.677393, 0.008862,
2.368459, 1.666919, 1.654834, -0.012085,
2.378683, 1.668530, 1.658862, -0.009668,
2.388796, 1.668530, 1.677393, 0.008862,
2.398683, 1.662085, 1.676587, 0.014502,
2.408604, 1.666919, 1.649194, -0.017725,
2.418684, 1.669336, 1.673364, 0.004028,
2.428639, 1.658862, 1.664502, 0.005640,
2.438578, 1.658862, 1.662891, 0.004028,
2.448465, 1.668530, 1.674170, 0.005640,
2.458357, 1.660474, 1.654834, -0.005640,
2.468578, 1.654834, 1.660474, 0.005640,
2.478579, 1.666113, 1.661279, -0.004834,
2.488682, 1.664502, 1.669336, 0.004834,
2.498586, 1.666919, 1.661279, -0.005640,
2.508683, 1.656445, 1.661279, 0.004834,
2.518577, 1.666919, 1.662891, -0.004028,
2.528778, 1.669336, 1.668530, -0.000806,
2.538943, 1.656445, 1.661279, 0.004834,
2.548799, 1.665308, 1.657251, -0.008057,
2.558887, 1.670142, 1.658862, -0.011279,
2.569148, 1.674976, 1.670142, -0.004834,
