time, Vcn, Von, VoVcn,
2.973126, 1.670947, 1.658057, -0.012891,
2.983338, 1.668530, 1.676587, 0.008057,
2.993164, 1.660474, 1.687866, 0.027393,
3.003028, 1.670947, 1.678198, 0.007251,
3.013034, 1.668530, 1.662085, -0.006445,
3.023123, 1.666919, 1.676587, 0.009668,
3.033152, 1.668530, 1.664502, -0.004028,
3.043342, 1.669336, 1.679004, 0.009668,
3.053231, 1.666919, 1.672559, 0.005640,
3.063236, 1.665308, 1.633887, -0.031421,
3.073361, 1.664502, 1.639526, -0.024976,
3.083567, 1.668530, 1.654028, -0.014502,
3.093673, 1.668530, 1.677393, 0.008862,
3.103559, 1.664502, 1.654834, -0.009668,
3.113671, 1.670142, 1.662085, -0.008057,
3.123793, 1.665308, 1.654834, -0.010474,
3.134079, 1.666919, 1.654028, -0.012891,
3.144253, 1.669336, 1.670142, 0.000806,
3.154127, 1.666113, 1.650000, -0.016113,
3.164226, 1.669336, 1.662085, -0.007251,
3.174353, 1.670142, 1.662085, -0.008057,
3.184553, 1.670947, 1.647583, -0.023364,
3.194646, 1.668530, 1.657251, -0.011279,
3.204798, 1.669336, 1.658057, -0.011279,
3.214983, 1.665308, 1.677393, 0.012085,
3.224793, 1.662085, 1.665308, 0.003223,
3.234890, 1.668530, 1.664502, -0.004028,
3.245011, 1.670142, 1.664502, -0.005640,
3.255130, 1.665308, 1.653223, -0.012085,
3.265232, 1.666113, 1.660474, -0.005640,
3.275357, 1.660474, 1.665308, 0.004834,
3.285348, 1.668530, 1.686255, 0.017725,
3.295228, 1.669336, 1.665308, -0.004028,
3.305227, 1.666919, 1.657251, -0.009668,
3.315349, 1.669336, 1.658862, -0.010474,
3.325457, 1.666113, 1.679004, 0.012891,
3.335439, 1.666919, 1.662085, -0.004834,
3.345711, 1.670142, 1.666113, -0.004028,
3.355872, 1.669336, 1.656445, -0.012891,
3.365896, 1.666113, 1.660474, -0.005640,
3.374906, 1.669336, 1.658862, -0.010474,
3.385123, 1.670142, 1.637109, -0.033032,
3.395230, 1.668530, 1.670947, 0.002417,
3.405136, 1.662891, 1.666919, 0.004028,
3.415006, 1.669336, 1.664502, -0.004834,
3.425126, 1.664502, 1.662085, -0.002417,
3.435344, 1.670142, 1.658862, -0.011279,
3.445450, 1.668530, 1.670947, 0.002417,
3.455339, 1.668530, 1.644360, -0.024170,
3.465449, 1.666113, 1.641138, -0.024976,
3.475560, 1.666113, 1.658057, -0.008057,
3.485794, 1.668530, 1.657251, -0.011279,
3.495906, 1.665308, 1.677393, 0.012085,
3.505871, 1.666113, 1.658057, -0.008057,
3.515898, 1.664502, 1.668530, 0.004028,
3.525901, 1.668530, 1.673364, 0.004834,
3.535893, 1.669336, 1.641138, -0.028198,
3.546124, 1.670142, 1.666113, -0.004028,
3.556223, 1.670142, 1.658862, -0.011279,
3.566353, 1.665308, 1.664502, -0.000806,
3.576449, 1.673364, 1.635498, -0.037866,
3.586684, 1.669336, 1.661279, -0.008057,
3.596795, 1.668530, 1.662085, -0.006445,
3.607010, 1.670142, 1.673364, 0.003223,
3.616902, 1.670142, 1.676587, 0.006445,
3.626904, 1.662085, 1.662891, 0.000806,
3.636972, 1.669336, 1.654834, -0.014502,
3.647009, 1.662891, 1.665308, 0.002417,
3.657001, 1.670142, 1.662085, -0.008057,
3.667005, 1.662891, 1.662085, -0.000806,
3.677126, 1.669336, 1.662891, -0.006445,
3.687344, 1.664502, 1.645166, -0.019336,
3.697450, 1.669336, 1.648389, -0.020947,
3.707567, 1.666113, 1.670142, 0.004028,
3.717446, 1.666919, 1.662085, -0.004834,
3.727595, 1.669336, 1.674170, 0.004834,
3.737676, 1.662085, 1.650000, -0.012085,
3.747790, 1.668530, 1.641138, -0.027393,
3.758011, 1.668530, 1.668530, 0.000000,
3.767841, 1.670142, 1.650806, -0.019336,
3.777898, 1.670142, 1.664502, -0.005640,
3.788029, 1.666919, 1.662085, -0.004834,
3.798129, 1.669336, 1.662085, -0.007251,
3.808344, 1.666919, 1.666113, -0.000806,
3.818451, 1.672559, 1.654834, -0.017725,
3.828675, 1.666113, 1.674976, 0.008862,
3.838824, 1.668530, 1.662085, -0.006445,
3.848902, 1.668530, 1.657251, -0.011279,
3.859116, 1.665308, 1.660474, -0.004834,
3.869227, 1.670142, 1.658862, -0.011279,
3.878243, 1.668530, 1.689478, 0.020947,
3.888229, 1.662085, 1.666919, 0.004834,
3.898126, 1.669336, 1.664502, -0.004834,
3.908225, 1.668530, 1.654834, -0.013696,
3.918229, 1.670142, 1.658057, -0.012085,
3.928344, 1.668530, 1.670947, 0.002417,
3.938450, 1.670947, 1.654028, -0.016919,
3.948563, 1.666919, 1.654834, -0.012085,
3.958792, 1.666113, 1.666919, 0.000806,
3.968751, 1.662085, 1.669336, 0.007251,
3.978563, 1.664502, 1.666919, 0.002417,
3.988452, 1.665308, 1.666919, 0.001611,
3.998342, 1.668530, 1.677393, 0.008862,
4.008341, 1.670142, 1.668530, -0.001611,
4.018415, 1.658862, 1.654834, -0.004028,
4.028567, 1.666113, 1.681421, 0.015308,
4.038668, 1.670142, 1.654834, -0.015308,
4.048792, 1.668530, 1.660474, -0.008057,
4.059019, 1.666113, 1.656445, -0.009668,
4.069173, 1.666919, 1.678198, 0.011279,
4.079007, 1.670142, 1.666919, -0.003223,
4.089129, 1.666919, 1.653223, -0.013696,
4.099197, 1.666113, 1.658862, -0.007251,
4.109347, 1.666113, 1.669336, 0.003223,
4.119230, 1.665308, 1.670947, 0.005640,
4.129244, 1.662085, 1.676587, 0.014502,
4.139345, 1.669336, 1.652417, -0.016919,
4.149448, 1.666919, 1.681421, 0.014502,
4.159435, 1.666919, 1.669336, 0.002417,
4.169262, 1.669336, 1.679004, 0.009668,
4.179124, 1.669336, 1.670947, 0.001611,
4.189013, 1.669336, 1.658862, -0.010474,
4.199128, 1.668530, 1.660474, -0.008057,
4.209263, 1.666113, 1.668530, 0.002417,
4.219122, 1.666919, 1.679004, 0.012085,
4.229010, 1.666919, 1.666113, -0.000806,
4.239226, 1.665308, 1.658057, -0.007251,
4.249353, 1.666113, 1.653223, -0.012891,
4.259558, 1.665308, 1.694311, 0.029004,
4.269469, 1.662085, 1.637915, -0.024170,
4.279563, 1.664502, 1.661279, -0.003223,
4.289680, 1.666919, 1.666919, 0.000000,
4.299452, 1.669336, 1.654834, -0.014502,
4.309670, 1.666113, 1.672559, 0.006445,
4.319565, 1.664502, 1.657251, -0.007251,
4.329798, 1.668530, 1.658862, -0.009668,
4.340132, 1.668530, 1.654028, -0.014502,
4.350236, 1.666919, 1.643555, -0.023364,
4.360443, 1.670142, 1.683838, 0.013696,
4.370345, 1.662085, 1.650806, -0.011279,
4.380438, 1.662891, 1.670142, 0.007251,
4.390362, 1.669336, 1.665308, -0.004028,
4.400465, 1.662891, 1.641943, -0.020947,
4.410687, 1.666919, 1.662085, -0.004834,
4.420799, 1.670947, 1.679810, 0.008862,
4.430884, 1.661279, 1.672559, 0.011279,
4.440898, 1.670142, 1.656445, -0.013696,
4.451022, 1.666113, 1.645166, -0.020947,
4.461234, 1.670947, 1.670947, 0.000000,
4.471216, 1.670142, 1.666113, -0.004028,
4.481345, 1.670142, 1.669336, -0.000806,
4.491448, 1.668530, 1.653223, -0.015308,
4.501537, 1.669336, 1.660474, -0.008862,
4.511679, 1.670947, 1.672559, 0.001611,
4.521593, 1.665308, 1.673364, 0.008057,
4.531657, 1.665308, 1.647583, -0.017725,
4.541840, 1.672559, 1.643555, -0.029004,
4.551904, 1.666113, 1.664502, -0.001611,
4.562130, 1.669336, 1.669336, 0.000000,
4.572003, 1.670142, 1.673364, 0.003223,
4.581883, 1.669336, 1.660474, -0.008862,
4.591925, 1.666113, 1.654834, -0.011279,
