time, Vca,
43.580685, 1.654028,
43.586129, 1.653223,
43.591668, 1.652417,
43.597136, 1.649194,
43.602577, 1.648389,
43.608014, 1.652417,
43.613602, 1.654028,
43.619063, 1.654834,
43.624647, 1.653223,
43.630084, 1.641138,
43.635540, 1.637915,
43.641037, 1.645166,
43.645411, 1.645166,
43.650897, 1.643555,
43.656341, 1.644360,
43.661806, 1.643555,
43.667338, 1.640332,
43.672855, 1.644360,
43.677694, 1.644360,
43.683109, 1.647583,
43.688651, 1.641138,
43.694019, 1.640332,
43.699429, 1.643555,
43.704791, 1.647583,
43.710136, 1.645972,
43.715613, 1.645166,
43.721143, 1.645972,
43.726583, 1.645166,
43.732007, 1.645166,
43.737382, 1.641943,
43.742933, 1.641943,
43.748422, 1.645972,
43.753874, 1.645166,
43.759275, 1.643555,
43.764802, 1.645972,
43.770240, 1.645166,
43.775719, 1.644360,
43.781112, 1.641943,
43.786571, 1.647583,
43.792101, 1.647583,
43.797557, 1.643555,
43.802977, 1.647583,
43.808493, 1.648389,
43.814057, 1.648389,
43.819578, 1.641138,
43.825008, 1.641943,
43.829939, 1.644360,
43.834886, 1.645166,
43.840377, 1.648389,
43.845799, 1.645972,
43.851262, 1.648389,
43.856695, 1.641138,
43.862165, 1.647583,
43.867711, 1.645972,
43.873624, 1.648389,
43.879141, 1.647583,
43.884506, 1.649194,
43.889979, 1.647583,
43.895363, 1.644360,
43.900733, 1.645972,
43.906114, 1.643555,
43.911507, 1.647583,
43.917020, 1.645972,
43.922545, 1.648389,
43.927982, 1.647583,
43.933469, 1.647583,
43.938995, 1.647583,
43.944505, 1.643555,
43.949958, 1.652417,
43.955412, 1.658862,
43.960846, 1.658057,
43.966362, 1.658862,
43.971920, 1.650806,
43.977363, 1.658057,
43.982712, 1.657251,
43.988098, 1.654834,
43.993584, 1.652417,
43.999006, 1.656445,
44.004469, 1.656445,
44.009936, 1.654834,
44.015443, 1.650000,
44.020965, 1.650000,
44.026409, 1.654028,
44.031821, 1.654834,
44.036410, 1.654834,
44.041928, 1.654834,
44.047361, 1.654834,
44.052799, 1.654834,
44.058246, 1.653223,
44.063805, 1.658057,
44.069249, 1.657251,
44.074831, 1.654834,
44.080285, 1.654028,
44.085725, 1.654028,
44.091248, 1.654834,
44.096709, 1.649194,
44.102131, 1.653223,
44.107554, 1.654834,
44.112977, 1.653223,
44.118401, 1.653223,
44.123947, 1.649194,
44.129397, 1.654834,
44.134798, 1.650000,
44.140364, 1.654834,
44.145800, 1.654834,
44.151271, 1.654028,
44.156719, 1.649194,
44.162150, 1.648389,
44.167686, 1.657251,
44.173249, 1.647583,
44.178707, 1.653223,
44.184142, 1.650000,
44.189689, 1.652417,
44.195123, 1.650806,
44.200554, 1.652417,
44.206014, 1.650000,
44.211470, 1.650000,
44.217023, 1.654028,
44.222492, 1.650806,
44.227862, 1.650000,
44.233221, 1.652417,
44.238692, 1.648389,
44.244166, 1.654028,
44.249626, 1.648389,
44.255108, 1.650000,
44.260553, 1.653223,
44.266094, 1.654028,
44.271714, 1.650000,
44.277171, 1.654834,
44.282591, 1.647583,
44.288015, 1.643555,
44.293559, 1.639526,
44.299008, 1.640332,
44.304472, 1.641943,
44.309921, 1.637915,
44.315403, 1.645166,
44.320936, 1.645166,
44.326372, 1.641943,
44.331752, 1.645166,
44.337166, 1.641138,
44.342721, 1.645972,
44.348147, 1.640332,
44.353640, 1.645972,
44.359141, 1.643555,
44.364656, 1.644360,
44.370109, 1.641138,
44.375587, 1.645972,
44.381011, 1.643555,
44.386476, 1.645166,
44.392011, 1.645972,
44.397478, 1.644360,
44.402927, 1.643555,
44.408373, 1.647583,
44.413884, 1.645972,
44.419325, 1.647583,
44.424843, 1.644360,
44.430258, 1.645166,
44.435706, 1.648389,
44.441247, 1.647583,
44.446692, 1.647583,
44.452146, 1.647583,
44.457594, 1.645166,
44.463020, 1.647583,
44.468577, 1.649194,
44.474146, 1.645972,
44.479596, 1.647583,
44.485019, 1.645166,
44.490558, 1.647583,
44.495968, 1.645972,
44.501411, 1.647583,
44.506805, 1.644360,
44.512249, 1.645972,
44.517800, 1.649194,
44.523335, 1.647583,
44.528811, 1.643555,
44.534267, 1.648389,
44.539754, 1.648389,
44.545246, 1.648389,
44.550732, 1.648389,
44.556186, 1.648389,
44.561638, 1.648389,
44.567146, 1.647583,
44.572699, 1.645972,
44.578153, 1.645972,
44.583599, 1.650000,
44.589106, 1.656445,
44.594558, 1.652417,
44.599997, 1.658862,
44.605476, 1.654028,
44.610930, 1.658862,
44.616474, 1.656445,
44.622041, 1.654834,
44.627480, 1.654834,
44.632847, 1.653223,
44.638196, 1.658057,
44.643687, 1.654834,
44.649174, 1.656445,
44.654671, 1.656445,
44.660121, 1.654834,
44.665664, 1.650000,
44.671251, 1.656445,
44.676726, 1.650806,
44.682141, 1.653223,
44.687570, 1.654028,
44.693120, 1.657251,
44.698584, 1.654834,
44.704008, 1.654028,
44.709474, 1.654834,
44.714967, 1.650000,
44.720512, 1.652417,
44.725956, 1.650000,
44.731442, 1.654834,
44.736805, 1.654834,
44.742310, 1.654834,
44.747713, 1.656445,
44.753140, 1.654028,
44.758549, 1.652417,
44.764021, 1.652417,
44.769476, 1.654834,
44.775014, 1.653223,
44.780476, 1.654028,
44.785913, 1.650000,
44.791443, 1.650806,
44.796909, 1.650806,
44.802331, 1.652417,
44.807786, 1.650806,
44.813197, 1.654834,
44.818694, 1.649194,
44.824193, 1.650000,
44.829706, 1.650806,
44.835119, 1.647583,
44.840625, 1.654028,
44.846034, 1.650000,
44.851502, 1.653223,
44.856942, 1.653223,
44.862395, 1.653223,
44.867910, 1.648389,
44.873485, 1.654028,
