=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 2.126587, 1.529150,
x_unit, 2.133445, 1.529150,
x_unit, 2.140335, 1.521094,
x_unit, 2.147167, 1.528345,
x_unit, 2.153976, 1.525122,
x_unit, 2.160783, 1.529956,
x_unit, 2.168310, 1.529150,
x_unit, 2.175952, 1.529150,
x_unit, 2.183058, 1.529150,
x_unit, 2.190112, 1.528345,
x_unit, 2.197185, 1.523511,
x_unit, 2.204144, 1.529150,
x_unit, 2.211188, 1.527539,
x_unit, 2.218134, 1.533179,
x_unit, 2.225093, 1.537207,
x_unit, 2.232048, 1.529956,
x_unit, 2.239088, 1.536401,
x_unit, 2.246025, 1.533984,
x_unit, 2.252959, 1.533984,
x_unit, 2.259877, 1.535596,
x_unit, 2.266911, 1.535596,
x_unit, 2.273963, 1.533984,
x_unit, 2.281916, 1.532373,
x_unit, 2.289014, 1.533179,
x_unit, 2.295976, 1.535596,
x_unit, 2.303081, 1.536401,
x_unit, 2.310029, 1.533179,
x_unit, 2.316616, 1.532373,
x_unit, 2.323625, 1.532373,
x_unit, 2.330600, 1.535596,
x_unit, 2.337637, 1.535596,
x_unit, 2.344630, 1.533179,
x_unit, 2.351623, 1.537207,
x_unit, 2.358608, 1.535596,
x_unit, 2.365659, 1.535596,
x_unit, 2.372776, 1.537207,
x_unit, 2.380725, 1.536401,
x_unit, 2.387856, 1.535596,
x_unit, 2.394851, 1.533984,
x_unit, 2.401955, 1.531567,
x_unit, 2.408958, 1.536401,
x_unit, 2.416000, 1.525122,
x_unit, 2.422932, 1.531567,
x_unit, 2.429882, 1.535596,
x_unit, 2.436915, 1.531567,
x_unit, 2.443884, 1.532373,
x_unit, 2.450858, 1.537207,
x_unit, 2.457851, 1.532373,
x_unit, 2.464885, 1.539624,
x_unit, 2.471939, 1.533984,
x_unit, 2.479861, 1.533984,
x_unit, 2.486951, 1.533984,
x_unit, 2.493910, 1.537207,
x_unit, 2.501014, 1.533984,
x_unit, 2.507952, 1.538013,
x_unit, 2.515005, 1.525928,
x_unit, 2.521949, 1.533984,
x_unit, 2.528903, 1.537207,
x_unit, 2.535855, 1.535596,
x_unit, 2.542851, 1.527539,
x_unit, 2.549822, 1.524316,
x_unit, 2.556773, 1.527539,
x_unit, 2.563779, 1.531567,
x_unit, 2.570818, 1.523511,
x_unit, 2.578780, 1.529956,
x_unit, 2.585878, 1.529150,
x_unit, 2.592859, 1.529150,
x_unit, 2.599934, 1.525928,
x_unit, 2.606905, 1.531567,
x_unit, 2.613924, 1.525928,
x_unit, 2.620861, 1.525928,
x_unit, 2.627777, 1.525928,
x_unit, 2.634683, 1.525122,
x_unit, 2.641719, 1.525928,
