x_unit, 1.877558, 1.533179,
x_unit, 1.884558, 1.533179,
x_unit, 1.891641, 1.529956,
x_unit, 1.898675, 1.529956,
x_unit, 1.905565, 1.533179,
x_unit, 1.912420, 1.537207,
x_unit, 1.919295, 1.532373,
x_unit, 1.926291, 1.535596,
x_unit, 1.933301, 1.533179,
x_unit, 1.940212, 1.529956,
x_unit, 1.947178, 1.529956,
x_unit, 1.954089, 1.527539,
x_unit, 1.960964, 1.533984,
x_unit, 1.967892, 1.535596,
x_unit, 1.974907, 1.529956,
x_unit, 1.981880, 1.529956,
x_unit, 1.988783, 1.535596,
x_unit, 2.116357, 1.527539,
x_unit, 2.123598, 1.529150,
x_unit, 2.130601, 1.529150,
x_unit, 2.137706, 1.525122,
x_unit, 2.144647, 1.529150,
x_unit, 2.151115, 1.525122,
x_unit, 2.158172, 1.525122,
x_unit, 2.165141, 1.529150,
x_unit, 2.172189, 1.527539,
x_unit, 2.179276, 1.529150,
x_unit, 2.186336, 1.528345,
x_unit, 2.193304, 1.527539,
x_unit, 2.200313, 1.529956,
x_unit, 2.211727, 1.521899,
x_unit, 2.218646, 1.527539,
x_unit, 2.225548, 1.529150,
x_unit, 2.232336, 1.528345,
x_unit, 2.239106, 1.529956,
x_unit, 2.245884, 1.524316,
x_unit, 2.252683, 1.529150,
x_unit, 2.259501, 1.527539,
x_unit, 2.266319, 1.528345,
x_unit, 2.273225, 1.524316,
x_unit, 2.280084, 1.525122,
x_unit, 2.286869, 1.529150,
x_unit, 2.293662, 1.527539,
x_unit, 2.300547, 1.524316,
x_unit, 2.307382, 1.525928,
x_unit, 2.314340, 1.525122,
x_unit, 2.321296, 1.529150,
x_unit, 2.328098, 1.529956,
x_unit, 2.334883, 1.523511,
x_unit, 2.341662, 1.527539,
x_unit, 2.348538, 1.524316,
x_unit, 2.355335, 1.529150,
x_unit, 2.362118, 1.528345,
x_unit, 2.368893, 1.528345,
x_unit, 2.375765, 1.527539,
x_unit, 2.382659, 1.528345,
x_unit, 2.389424, 1.533984,
x_unit, 2.396301, 1.531567,
x_unit, 2.403098, 1.536401,
x_unit, 2.410083, 1.535596,
x_unit, 2.416878, 1.533179,
x_unit, 2.423773, 1.535596,
x_unit, 2.430563, 1.533984,
x_unit, 2.437311, 1.527539,
x_unit, 2.444099, 1.536401,
x_unit, 2.450980, 1.533179,
x_unit, 2.457777, 1.533179,
x_unit, 2.464547, 1.532373,
x_unit, 2.471423, 1.525122,
x_unit, 2.478305, 1.533179,
x_unit, 2.485088, 1.529150,
x_unit, 2.491890, 1.536401,
x_unit, 2.498751, 1.525122,
x_unit, 2.505630, 1.535596,
x_unit, 2.512660, 1.536401,
x_unit, 2.519449, 1.533984,
x_unit, 2.526332, 1.531567,
x_unit, 2.533102, 1.532373,
x_unit, 2.539875, 1.537207,
x_unit, 2.546740, 1.533984,
x_unit, 2.553606, 1.535596,
x_unit, 2.560437, 1.537207,
x_unit, 2.567237, 1.533984,
x_unit, 2.574098, 1.532373,
x_unit, 2.580985, 1.533984,
x_unit, 2.587769, 1.533984,
x_unit, 2.594537, 1.533984,
x_unit, 2.601436, 1.533179,
x_unit, 2.608285, 1.536401,
x_unit, 2.615222, 1.533984,
x_unit, 2.622158, 1.529150,
x_unit, 2.628989, 1.536401,
x_unit, 2.635778, 1.527539,
x_unit, 2.642546, 1.535596,
x_unit, 2.649441, 1.533984,
x_unit, 2.656212, 1.536401,
x_unit, 2.662989, 1.536401,
